id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
100554,11,12,2013,4,2,2013-12-11
100555,10,8,2013,3,2,2013-08-10
100588,4,12,2019,4,2,2019-12-04
100602,2,9,2011,3,2,2011-09-02
100608,1,1,2009,1,1,2009-01-01
100614,3,4,2021,2,1,2021-04-03
100617,29,6,2019,2,1,2019-06-29
100624,28,2,2021,1,1,2021-02-28
100631,15,10,2008,4,2,2008-10-15
100634,9,8,2018,3,2,2018-08-09
100639,23,7,2015,3,2,2015-07-23
100641,19,3,2016,1,1,2016-03-19
100657,1,9,2019,3,2,2019-09-01
100660,1,10,2020,4,2,2020-10-01
100663,11,10,2014,4,2,2014-10-11
100666,4,6,2009,2,1,2009-06-04
100699,2,4,2021,2,1,2021-04-02
100714,11,8,2020,3,2,2020-08-11
100723,31,3,2017,1,1,2017-03-31
100733,4,5,2021,2,1,2021-05-04
100784,22,11,2020,4,2,2020-11-22
100809,26,2,2021,1,1,2021-02-26
100819,11,5,2020,2,1,2020-05-11
100828,30,5,2009,2,1,2009-05-30
100842,7,11,2018,4,2,2018-11-07
100884,11,7,2020,3,2,2020-07-11
100885,13,7,2020,3,2,2020-07-13
100916,3,10,2012,4,2,2012-10-03
100917,9,2,2013,1,1,2013-02-09
100974,12,4,2021,2,1,2021-04-12
100975,10,7,2017,3,2,2017-07-10
100977,16,12,2018,4,2,2018-12-16
100985,3,6,2017,2,1,2017-06-03
100992,17,7,2020,3,2,2020-07-17
101010,14,2,2021,1,1,2021-02-14
101021,9,1,2009,1,1,2009-01-09
101022,30,3,2014,1,1,2014-03-30
101027,15,8,2019,3,2,2019-08-15
101028,29,10,2019,4,2,2019-10-29
101030,7,11,2020,4,2,2020-11-07
101033,1,6,2020,2,1,2020-06-01
101040,6,12,2020,4,2,2020-12-06
101070,28,7,2019,3,2,2019-07-28
101072,12,10,2018,4,2,2018-10-12
101077,22,2,2020,1,1,2020-02-22
101090,20,1,2010,1,1,2010-01-20
101093,7,9,2020,3,2,2020-09-07
101127,17,12,2019,4,2,2019-12-17
101137,29,8,2015,3,2,2015-08-29
101138,13,7,2014,3,2,2014-07-13
101162,18,6,2019,2,1,2019-06-18
101169,16,6,2021,2,1,2021-06-16
101171,30,10,2012,4,2,2012-10-30
101181,6,9,2013,3,2,2013-09-06
101190,19,5,2021,2,1,2021-05-19
101192,8,7,2021,3,2,2021-07-08
101197,9,2,2019,1,1,2019-02-09
101208,10,2,2019,1,1,2019-02-10
101221,12,5,2020,2,1,2020-05-12
101265,19,6,2020,2,1,2020-06-19
101287,26,12,2018,4,2,2018-12-26
101290,30,6,2012,2,1,2012-06-30
101294,17,6,2020,2,1,2020-06-17
101296,22,5,2020,2,1,2020-05-22
101300,23,2,2019,1,1,2019-02-23
101304,30,11,2018,4,2,2018-11-30
101307,21,12,2017,4,2,2017-12-21
101323,21,2,2021,1,1,2021-02-21
101352,19,3,2021,1,1,2021-03-19
101363,7,6,2016,2,1,2016-06-07
101376,3,2,2021,1,1,2021-02-03
101378,14,4,2021,2,1,2021-04-14
101379,11,10,2015,4,2,2015-10-11
101400,24,4,2010,2,1,2010-04-24
