id_camera,nm_camera,nm_fabricante,id_tipo_camera
9100,NIKON D3200,NIKON,87
9101,FC3411,DJI,91
9102,Canon PowerShot SX260 HS,CANON,91
9103,Canon EOS 250D,CANON,87
9104,COOLPIX P1000,NIKON,91
9105,SM-A215U1,SAMSUNG,91
9106,DSLR-A300,SONY,91
9107,DMC-ZS100,PANASONIC,90
9108,Canon EOS 5DS R,CANON,87
9109,Canon EOS M10,CANON,87
9110,PENTAX K-3 II,RICOH,87
9111,Canon EOS 700D,CANON,87
9112,FC7303,DJI,91
9113,EML-L09,HUAWEI,91
9114,DMC-G70,PANASONIC,91
9115,Canon EOS DIGITAL REBEL XSi,CANON,87
9116,DMC-G85,PANASONIC,91
9117,SM-N975U,SAMSUNG,91
9118,Redmi 3S,XIAOMI,91
9119,NEX-7,SONY,90
9120,G42NGC,STEALTH,91
9121,NIKON D610,NIKON,87
9122,TG-6,OLYMPUS,91
9123,PENTAX K-1,RICOH,87
9124,DC-S1,PANASONIC,90
9125,SM-G988B,SAMSUNG,91
9126,DMC-LC5,PANASONIC,91
9127,PENTAX K-7,PENTAX,87
9128,FinePix HS50EXR,FUJIFILM,91
9129,SM-G991U1,SAMSUNG,91
9130,COOLPIX B500,NIKON,91
9131,DSC-P200,SONY,91
9132,SM-G780F,SAMSUNG,91
9133,Canon EOS Rebel T6,CANON,87
9134,NIKON Df,NIKON,87
9135,iPhone 5s,APPLE,91
9136,COOLPIX L840,NIKON,91
9138,Canon EOS DIGITAL REBEL XS,CANON,87
9139,X100V,FUJIFILM,91
9140,Canon EOS 70D,CANON,87
9141,DMC-FZ300,PANASONIC,91
9142,DC-FZ82,PANASONIC,91
9143,iPhone 11,APPLE,91
9144,PEN-F,OLYMPUS,91
9145,DMC-FZ70,PANASONIC,91
9146,SM-G930R4,SAMSUNG,91
9147,Pixel 4a,GOOGLE,91
9148,NIKON D3400,NIKON,87
9149,DMC-TZ70,PANASONIC,91
9151,Canon EOS-1D Mark III,CANON,87
9153,NIKON 1 J1,NIKON,91
9154,Canon EOS 650D,CANON,87
9155,NIKON D800,NIKON,87
9156,iPhone XS Max,APPLE,91
9157,SM-J530F,SAMSUNG,91
9158,Canon PowerShot G7 X,CANON,91
9159,LM-G850,LGE,91
9160,DSC-W570,SONY,91
9161,SM-A730F,SAMSUNG,91
9162,CLT-L29,HUAWEI,91
9163,SM-G973F,SAMSUNG,91
9164,M2010J19CG,XIAOMI,91
9165,Canon PowerShot SX40 HS,CANON,91
9166,X-S1,FUJIFILM,91
9168,X-T200,FUJIFILM,91
9169,Canon EOS REBEL T1i,CANON,87
9170,X-T2,FUJI,91
9171,Canon PowerShot SX60 HS,CANON,91
9172,D-LUX 3,LEICA,91
9173,SM-G991B,SAMSUNG,91
9175,DMC-GX8,PANASONIC,91
9177,Canon EOS 30D,CANON,87
9178,Canon PowerShot G9 X Mark II,CANON,91
9179,NIKON D200,NIKON,87
9180,DSLR-A330,SONY,91
9181,NIKON D300S,NIKON,87
9182,NIKON D40,NIKON,87
9184,Canon PowerShot SX730 HS,CANON,91
9185,DSC-WX200,SONY,91
